2025-01-19 23:09:00,337 - INFO - Script started.
2025-01-19 23:09:02,384 - INFO - Loaded 338025 tokens.
2025-01-19 23:09:02,384 - INFO - 1 epoch = 82 batches.
2025-01-19 23:09:03,012 - INFO - Starting training...
2025-01-19 23:15:26,612 - INFO - Step 245, Loss: 5.410288333892822
2025-01-19 23:15:28,105 - INFO - Step 246, Loss: 5.484273433685303
2025-01-19 23:15:29,644 - INFO - Step 247, Loss: 5.422079563140869
2025-01-19 23:15:31,225 - INFO - Step 248, Loss: 5.445674896240234
2025-01-19 23:15:32,792 - INFO - Step 249, Loss: 5.43464469909668
2025-01-19 23:15:34,379 - INFO - Step 250, Loss: 5.200057029724121
2025-01-19 23:15:35,930 - INFO - Step 251, Loss: 4.95021915435791
2025-01-19 23:15:37,477 - INFO - Step 252, Loss: 5.014154434204102
2025-01-19 23:15:38,986 - INFO - Step 253, Loss: 4.974147319793701
2025-01-19 23:15:40,523 - INFO - Step 254, Loss: 5.0928215980529785
2025-01-19 23:15:42,065 - INFO - Step 255, Loss: 5.005894660949707
2025-01-19 23:15:43,618 - INFO - Step 256, Loss: 5.23826789855957
2025-01-19 23:15:45,170 - INFO - Step 257, Loss: 5.255687713623047
2025-01-19 23:15:46,711 - INFO - Step 258, Loss: 5.295965194702148
2025-01-19 23:15:48,281 - INFO - Step 259, Loss: 5.2726311683654785
2025-01-19 23:15:49,835 - INFO - Step 260, Loss: 5.164849281311035
2025-01-19 23:15:51,381 - INFO - Step 261, Loss: 5.190064907073975
2025-01-19 23:15:52,936 - INFO - Step 262, Loss: 4.947636127471924
2025-01-19 23:15:54,464 - INFO - Step 263, Loss: 4.931941509246826
2025-01-19 23:15:55,968 - INFO - Step 264, Loss: 5.241974830627441
2025-01-19 23:15:57,504 - INFO - Step 265, Loss: 5.000180244445801
2025-01-19 23:15:59,032 - INFO - Step 266, Loss: 5.278751850128174
2025-01-19 23:16:00,590 - INFO - Step 267, Loss: 4.974956512451172
2025-01-19 23:16:02,102 - INFO - Step 268, Loss: 5.328226566314697
2025-01-19 23:16:03,654 - INFO - Step 269, Loss: 5.395576000213623
2025-01-19 23:16:05,185 - INFO - Step 270, Loss: 5.473439693450928
2025-01-19 23:16:06,687 - INFO - Step 271, Loss: 5.427115440368652
2025-01-19 23:16:08,263 - INFO - Step 272, Loss: 5.28580379486084
2025-01-19 23:16:09,825 - INFO - Step 273, Loss: 5.319264888763428
2025-01-19 23:16:11,368 - INFO - Step 274, Loss: 5.336114883422852
2025-01-19 23:16:12,894 - INFO - Step 275, Loss: 5.252265930175781
2025-01-19 23:16:14,418 - INFO - Step 276, Loss: 5.089356422424316
2025-01-19 23:16:15,933 - INFO - Step 277, Loss: 4.987537860870361
2025-01-19 23:16:17,504 - INFO - Step 278, Loss: 5.160572052001953
2025-01-19 23:16:18,998 - INFO - Step 279, Loss: 5.307156085968018
2025-01-19 23:16:20,526 - INFO - Step 280, Loss: 5.368801116943359
2025-01-19 23:16:22,077 - INFO - Step 281, Loss: 5.286438465118408
2025-01-19 23:16:23,647 - INFO - Step 282, Loss: 5.124426364898682
2025-01-19 23:16:25,111 - INFO - Step 283, Loss: 5.318702220916748
2025-01-19 23:16:26,675 - INFO - Step 284, Loss: 5.146116256713867
2025-01-19 23:16:28,224 - INFO - Step 285, Loss: 4.922281265258789
2025-01-19 23:16:29,795 - INFO - Step 286, Loss: 5.080102443695068
2025-01-19 23:16:31,354 - INFO - Step 287, Loss: 5.246280193328857
2025-01-19 23:16:32,888 - INFO - Step 288, Loss: 5.022312641143799
2025-01-19 23:16:34,447 - INFO - Step 289, Loss: 5.063681125640869
2025-01-19 23:16:36,015 - INFO - Step 290, Loss: 5.372313022613525
2025-01-19 23:16:37,573 - INFO - Step 291, Loss: 5.230649471282959
2025-01-19 23:16:39,142 - INFO - Step 292, Loss: 5.110772609710693
2025-01-19 23:16:40,681 - INFO - Step 293, Loss: 4.991804599761963
2025-01-19 23:16:42,240 - INFO - Step 294, Loss: 5.115983009338379
2025-01-19 23:16:43,793 - INFO - Step 295, Loss: 5.035844802856445
2025-01-19 23:16:45,314 - INFO - Step 296, Loss: 5.144032001495361
2025-01-19 23:16:46,893 - INFO - Step 297, Loss: 5.018062114715576
2025-01-19 23:16:48,430 - INFO - Step 298, Loss: 5.443634510040283
2025-01-19 23:16:49,974 - INFO - Step 299, Loss: 5.409071922302246
2025-01-19 23:16:51,538 - INFO - Step 300, Loss: 5.232547760009766
2025-01-19 23:16:53,066 - INFO - Step 301, Loss: 5.383134841918945
2025-01-19 23:16:54,628 - INFO - Step 302, Loss: 5.678567886352539
2025-01-19 23:16:56,162 - INFO - Step 303, Loss: 5.519369125366211
2025-01-19 23:16:57,685 - INFO - Step 304, Loss: 5.182626724243164
2025-01-19 23:16:59,217 - INFO - Step 305, Loss: 5.275722503662109
2025-01-19 23:17:00,750 - INFO - Step 306, Loss: 5.282565593719482
2025-01-19 23:17:02,254 - INFO - Step 307, Loss: 5.171106815338135
2025-01-19 23:17:03,836 - INFO - Step 308, Loss: 5.140145778656006
2025-01-19 23:17:05,368 - INFO - Step 309, Loss: 4.984395503997803
2025-01-19 23:17:06,888 - INFO - Step 310, Loss: 4.879186153411865
2025-01-19 23:17:08,441 - INFO - Step 311, Loss: 5.06761360168457
2025-01-19 23:17:09,975 - INFO - Step 312, Loss: 5.113436222076416
2025-01-19 23:17:11,490 - INFO - Step 313, Loss: 5.038496971130371
2025-01-19 23:17:13,040 - INFO - Step 314, Loss: 5.0088090896606445
2025-01-19 23:17:14,590 - INFO - Step 315, Loss: 4.857666969299316
2025-01-19 23:17:16,134 - INFO - Step 316, Loss: 4.755910873413086
2025-01-19 23:17:17,636 - INFO - Step 317, Loss: 5.412567615509033
2025-01-19 23:17:19,166 - INFO - Step 318, Loss: 5.118948459625244
2025-01-19 23:17:20,698 - INFO - Step 319, Loss: 4.866730690002441
2025-01-19 23:17:22,261 - INFO - Step 320, Loss: 4.926956653594971
2025-01-19 23:17:23,835 - INFO - Step 321, Loss: 5.092216968536377
2025-01-19 23:17:25,347 - INFO - Step 322, Loss: 4.941399574279785
2025-01-19 23:17:26,875 - INFO - Step 323, Loss: 4.667157173156738
2025-01-19 23:17:28,440 - INFO - Step 324, Loss: 4.636752128601074
2025-01-19 23:17:30,017 - INFO - Step 325, Loss: 4.661468982696533
2025-01-19 23:17:31,557 - INFO - Step 326, Loss: 5.387912750244141
2025-01-19 23:17:33,114 - INFO - Step 327, Loss: 5.215700626373291
2025-01-19 23:17:34,656 - INFO - Step 328, Loss: 5.30479621887207
2025-01-19 23:17:36,186 - INFO - Step 329, Loss: 5.217505931854248
2025-01-19 23:17:37,730 - INFO - Step 330, Loss: 5.271839141845703
2025-01-19 23:17:39,267 - INFO - Step 331, Loss: 5.234455585479736
2025-01-19 23:17:40,837 - INFO - Step 332, Loss: 4.9914751052856445
2025-01-19 23:17:42,418 - INFO - Step 333, Loss: 4.731739521026611
2025-01-19 23:17:43,960 - INFO - Step 334, Loss: 4.8279500007629395
2025-01-19 23:17:45,527 - INFO - Step 335, Loss: 4.780010223388672
2025-01-19 23:17:47,077 - INFO - Step 336, Loss: 4.908721923828125
2025-01-19 23:17:48,609 - INFO - Step 337, Loss: 4.847454071044922
2025-01-19 23:17:50,176 - INFO - Step 338, Loss: 5.074028968811035
2025-01-19 23:17:51,713 - INFO - Step 339, Loss: 5.101516246795654
2025-01-19 23:17:53,237 - INFO - Step 340, Loss: 5.093813419342041
2025-01-19 23:17:54,778 - INFO - Step 341, Loss: 5.0409321784973145
2025-01-19 23:17:56,323 - INFO - Step 342, Loss: 4.991393089294434
2025-01-19 23:17:57,852 - INFO - Step 343, Loss: 5.009790897369385
2025-01-19 23:17:59,360 - INFO - Step 344, Loss: 4.755208969116211
